SessionID,Female (y=1)
S019-002-l000,0
S019-002-l001,0
S019-002-l002,0
S019-002-l003,0
S019-002-l004,0
S019-003-l002,0
S019-004-l000,0
S019-005-l000,0
S019-005-l001,0
S019-006-l000,0
S019-008-l008,0
S019-008-l015,0
S019-009-l000,0
S019-009-l001,0
S019-009-l002,0
S019-009-l003,0
S020-001-l000,1
S020-001-l001,1
S020-001-l002,1
S020-001-l003,1
S020-001-l004,1
S020-001-l005,1
S020-002-l000,1
S020-002-l001,1
S020-002-l002,1
S020-002-l003,1
S020-002-l004,1
S020-002-l005,1
S020-003-l000,1
S020-003-l001,1
S020-003-l002,1
S020-003-l003,1
S020-003-l004,1
S020-003-l005,1
S020-003-l006,1
S020-004-l000,1
S020-004-l001,1
S020-004-l002,1
S020-004-l003,1
S020-004-l004,1
S021-001-l000,0
S021-001-l001,0
S021-002-l000,0
S021-002-l001,0
S021-004-l000,0
S021-004-l001,0
S021-006-l000,0
S021-006-l001,0
S021-006_1-l000,0
S021-006_2-l000,0
S022-001-l000,1
S022-001-l001,1
S022-001-l002,1
S022-001-l005,1
S022-001-l008,1
S022-003-l000,1
S022-003-l001,1
S022-003-l002,1
S022-004-l001,1
S022-006_1-l001,1
S022-008-l000,1
S022-008-l002,1
S022-009-l000,1
S022-009-l001,1
S022-009-l002,1
S022-009-l003,1
S022-009-l004,1
S022-009-l006,1
S022-009-l007,1
S022-009-l008,1
S022-010-l000,1
S022-010-l001,1
S022-010-l002,1
S022-010-l003,1
S022-010-l004,1
S022-010-l005,1
S022-010-l006,1
S022-010-l008,1
S022-010-l010,1
S022-010-l011,1
S023-001-l000,1
S023-001-l001,1
S023-001-l002,1
S023-001-l003,1
S023-002-l000,1
S023-002-l002,1
S023-002-l003,1
S023-002-l004,1
S023-002-l005,1
S023-003-l000,1
S023-003-l001,1
S023-003-l002,1
S023-003-l003,1
S023-003-l004,1
S023-003-l005,1
S023-003-l006,1
S023-003-l007,1
S023-003-l008,1
S023-003-l010,1
S023-003-l012,1
S023-003-l014,1
S023-004-l000,1
S023-004-l001,1
S023-004-l002,1
S023-004-l003,1
S023-004-l004,1
S023-004-l005,1
S023-004-l006,1
S023-005-l000,1
S023-005-l001,1
S023-005-l002,1
S023-005-l004,1
S023-006-l000,1
S023-006-l001,1
S023-006-l003,1
S023-006-l005,1
S023-006-l007,1
S023-006-l008,1
S023-006-l010,1
S023-006-l012,1
S023-008-l000,1
S023-008-l003,1
S023-009-l000,1
S023-010-l012,1
S024-001-l000,0
S024-001-l001,0
S024-001-l002,0
S024-001-l003,0
S024-001-l004,0
S024-002-l000,0
S024-003-l000,0
S024-003-l001,0
S024-003-l002,0
S024-003-l003,0
S024-003-l004,0
S024-003-l005,0
S024-004-l001,0
S024-005-l000,0
S024-005-l001,0
S024-008-l004,0
S024-008-l005,0
S024-008-l006,0
S024-008-l007,0
S025-001-l000,1
S025-001-l002,1
S025-001-l003,1
S025-001-l004,1
S025-002-l000,1
S025-002-l001,1
S025-002-l002,1
S025-002-l003,1
S025-002-l004,1
S025-002-l006,1
S025-002-l007,1
S025-002-l008,1
S025-002-l009,1
S025-002-l010,1
S025-002-l014,1
S025-002-l016,1
S025-002-l017,1
S025-003-l000,1
S025-003-l001,1
S025-003-l002,1
S025-003-l003,1
S025-003-l004,1
S025-003-l005,1
S025-003-l006,1
S025-003-l007,1
S025-003-l008,1
S025-003-l009,1
S025-003-l010,1
S025-003-l011,1
S025-003-l013,1
S025-003-l016,1
S025-004-l000,1
S025-004-l001,1
S025-004-l003,1
S025-004-l005,1
S025-004-l006,1
S025-004-l007,1
S025-004-l010,1
S025-004-l011,1
S025-004-l012,1
S025-004-l013,1
S025-004-l014,1
S025-004-l015,1
S025-004-l016,1
S025-004-l017,1
S025-004-l018,1
S025-004-l019,1
S025-004-l020,1
S025-004-l022,1
S025-005-l001,1
S025-006-l000,1
S025-006-l001,1
S025-006-l002,1
S025-006-l004,1
S025-006-l005,1
S025-006-l007,1
S025-006-l008,1
S025-007-l015,1
S025-008-l019,1
S025-008-l023,1
S025-008-l026,1
